sku_id,category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
526,"Cooking Essentials","Popular Essentials Urad Gola White(Un-Polished)",90.00,10.00,6,81.00,500,0,500
527,"Cooking Essentials","24 Mantra Organic Chana Dal",95.00,6.00,5,89.00,500,0,500
528,"Cooking Essentials","Delight Nuts Cashew Roasted & Salted",425.00,20.00,6,340.00,200,0,200
529,"Cooking Essentials","Popular Essentials Mace/Javitri",90.00,10.00,3,81.00,20,0,20
530,"Cooking Essentials","Dlicia Whip Topping Bottle",235.00,27.00,5,171.00,1000,0,1
531,"Cooking Essentials","Mother's Recipe Paste Ginger & Garlic",76.00,10.00,4,68.00,300,0,300
532,"Cooking Essentials","24 Mantra Groundnut Oil (Cold Pressed) Pet Bottle",410.00,10.00,6,369.00,1000,0,1
533,"Cooking Essentials","Satyam Pulses Masur Dal",87.00,6.00,6,81.00,500,0,500
534,"Cooking Essentials","Delight Nuts Pista Roasted & Salted",425.00,20.00,6,340.00,200,0,200
535,"Cooking Essentials","Top Ramen Noodles, Atta",80.00,0.00,1,80.00,280,0,280
536,"Cooking Essentials","Hershey's Cocoa Powder",95.00,0.00,5,95.00,70,0,70
537,"Cooking Essentials","Praakritik Organic Singhara Atta",240.00,6.00,4,225.00,500,0,500
538,"Cooking Essentials","Gits Veg Biryani Ready to Eat",110.00,10.00,6,99.00,265,0,265
539,"Cooking Essentials","Delight Nuts Cranberries Sliced ",299.00,20.00,6,239.00,200,0,200
540,"Cooking Essentials","Borges Durum Wheat Pasta Superior Quality",250.00,40.00,6,149.00,500,0,500
541,"Cooking Essentials","Ceres Foods Laal Maas Instant Liquid Masala",220.00,50.00,5,110.00,200,0,200
542,"Cooking Essentials","Popular Essentials Sattu Atta",90.00,12.00,3,79.00,500,0,500
543,"Cooking Essentials","Popular Essentials Mustard Seeds Rai Yellow",25.00,0.00,5,25.00,100,0,100
544,"Cooking Essentials","Praakritik Organic Extra Virgin Coconut Oil",150.00,10.00,5,134.00,100,0,100
545,"Cooking Essentials","Praakritik Organic Garlic Powder",110.00,1.00,5,108.00,100,0,100
546,"Cooking Essentials","Sugarfree Gold Low Calorie Sweetner ",125.00,5.00,6,118.00,100,0,100
547,"Cooking Essentials","Aashirvaad Breakfast Instant Mix - Rice Idli",75.00,30.00,6,52.00,200,0,200
548,"Cooking Essentials","Kitchens Of India Mutter Paneer",130.00,4.00,6,124.00,285,0,285
